word_length,language_afroasiatic,language_native_american,language_creoles,language_indo_european,language_east_asian,language_niger_congo,semcat_1,semcat_2,semcat_3,semcat_4,semcat_5,semcat_6,semcat_7,semcat_8,semcat_9,semcat_10,pos_noun,pos_verb,pos_adj,pos_adv,pos_int,result_count,result_songs,result_artists
6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,10,14
7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,4
5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,13,13
4,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,573,263,220
5,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,23,21,27
6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2,3
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,521,270,225
7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,7,4,5
6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,76,25,30
7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,47,28,35
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1029,465,288
4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,116,75,74
6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,85,67,71
7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,12,10,13
7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,68,55,75
5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,160,96,101
2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1639,681,402
3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,51,56
3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,245,91,96
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,32,34
8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,26,13,31
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,10,16
10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,2,3
4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,90,60,58
7,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,5,5,9
5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,29,17,21
8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,2
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,408,226,180
6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,6,8
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,93,51,68
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,35,22,26
5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,19,35
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,4,15
5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1147,391,281
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1384,430,310
9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,18,9,11
6,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,88,30,37
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,3,4
10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,5,9
7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,39,13,20
8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,14,9,11
5,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,345,59,67
9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,25,15,25
5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,41,19,24
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,85,40,58
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,18,17
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,4,7
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,66,47,65
4,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,39,22,34
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,114,59,64
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,31,13,16
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,85,40,52
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,54,24,24
6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,57,38,38
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,26,10,12
6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,32,15,22
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,16,3,6
6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,39,22,32
5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,96,64,73
5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,12,17
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,208,102,85
5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,78,30,39
3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,66,44,51
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25,20,19
6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,2,4
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,102,34,36
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,595,235,191
9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,6,8
4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,31,22,30
7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,14,14,16
8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,13,10
5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40,35,40
6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,11,14
5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2056,855,357
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,43,31,30
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2
7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,322,146,145
8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,24,16,21
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,7,8
5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,73,32,46
6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,44,10,19
7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,35,13,17
5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,26,20,25
5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,8,6,8
7,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,11,8,14
5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,12,9,12
5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,7,8
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,33,8,16
5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,15,5,10
5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,235,128,134
5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,13,11,16
5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,93,34,58
7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,31,21,32
6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,15,11,17
8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,9,13
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,177,59,77
5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,58,37,42
3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,81,44,63
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9,8,17
3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,259,143,127
4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,6
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59,18,20
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,4,6
4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,2651,1186,455
7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,118,48,73
6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,216,70,76
4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,39,26,31
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,234,161,176
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3006,800,357
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,37,22,29
9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,6,11
8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,9,12
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,422,158,136
5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,394,186,119
6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81,42,52
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,174,115,114
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,48,44,41
5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,15,9,13
4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,8,12
5,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,77,53,66
6,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,9,11
7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,34,24,22
2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,245,81,107
3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,56,39,39
6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,229,73,53
6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,6,8
5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,52,8,12
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,229,58,55
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,39,25,33
4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,225,81,82
5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,41,27,37
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,381,185,132
3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,9,12
5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,258,154,139
2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1129,368,298
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,15,22
7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,3,3
8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,29,27,52
9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,14,21
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,8
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,3,4
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19,2,4
6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19,5,8
4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,216,172,190
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,22,14,18
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,27,25,28
7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,38,33,43
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,26,23,33
5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,36,26,29
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,3,4
4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,26,11,15
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,5,4,3
5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,87,62,75
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,2
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,72,48,61
5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19,10,12
6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,61,24,30
4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,4,5
5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,5,3
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,4,7
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,3,4
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,31,28,26
7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,125,68,66
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,35,28
9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,17,12,24
8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,39,36,41
5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,9,13
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,7,5
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17,14,19
6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,192,138,125
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,170,109,129
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,7,9
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,307,173,133
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,7,7
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,6,8
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,54,42,43
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,10,12
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,62,53,85
5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,69,39,48
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,108,25,31
6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,40,17,30
5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,139,106,110
7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,143,87,88
7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,178,101,89
6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,33,18,22
5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,3,2
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,7,6,3
6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,33,11,18
7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,30,16,21
8,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,5,5,6
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,68,32,40
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,311,157,151
9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,68,41,65
8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,39,30,29
2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,363,145,132
8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,135,73,82
9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,72,48,51
7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,254,73,91
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,261,138,114
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2305,1234,493
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,77,39,44
5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,46,28,29
6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,74,38,41
3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,78,51,68
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,47,39,42
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,95,54,42
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,108,60,64
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,402,264,209
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,119,107,117
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37,35,29
4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,171,85,120
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27,18,24
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1066,607,339
7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,3,7
7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,14,12
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,120,46,49
5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,77,43,42
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,13,16
7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,111,41,62
7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,41,20,36
6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,7,8
5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,37,26,34
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,184,81,83
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,397,183,152
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17,7,27
9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,46,9,14
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,13,17
11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,55,43,45
12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17,9,12
6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,6,12
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,7,9
6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,149,115,134
7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22,16,23
